SalaryUSD	Country	PrimaryDatabase	YearsWithThisDatabase	OtherDatabases	JobTitle	YearsWithThisTypeOfJob	Education	HoursWorkedPerWeek
72000	United States	Microsoft SQL Server	5	"Oracle, MySQL/MariaDB, Microsoft Access"	DBA	3	Masters	45
99000	United States	Microsoft SQL Server	15	"Oracle, DB2, Azure SQL DB"	"Developer: App code (C#, JS, etc)"	10	Bachelors (4 years)	55
85000	United States	Microsoft SQL Server	14	"MySQL/MariaDB, Microsoft Access, Azure SQL DB"	Manager	2	Bachelors (4 years)	45
45000	South Africa	Microsoft SQL Server	7	"Oracle, SQLite, Teradata"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	6	Bachelors (4 years)	45
72000	United States	Microsoft SQL Server	3		DBA	1	Bachelors (4 years)	50
37669	Poland	Microsoft SQL Server	3		Developer: T-SQL	3	Masters	40
90000	United Kingdom	Microsoft SQL Server	15	"MySQL/MariaDB, DB2, SAP, Azure SQL DB"	Architect	10	None (no degree completed)	40
85000	Germany	Microsoft SQL Server	20		"Developer: App code (C#, JS, etc)"	5	Bachelors (4 years)	40
95000	United States	Microsoft SQL Server	7		Developer: T-SQL	1	Bachelors (4 years)	40
70000	United States	Microsoft SQL Server	3	Teradata	Engineer	3	Bachelors (4 years)	45
88130	United States	Microsoft SQL Server	6		Developer: T-SQL	5	Bachelors (4 years)	50
65388	Norway	Microsoft SQL Server	5		Engineer	8	Associates (2 years)	38
35900	Poland	Microsoft SQL Server	8	"MySQL/MariaDB, Redis, SQLite"	"Developer: App code (C#, JS, etc)"	8	Bachelors (4 years)	40
47000	United Kingdom	Microsoft SQL Server	16	"Oracle, Microsoft Access, Redis, Azure SQL DB, Amazon RDS (any flavor)"	DBA	3	None (no degree completed)	40
12000	India	Microsoft SQL Server	5	Microsoft SQL Server	DBA	5	Masters	45
42000	France	Oracle	3	"Microsoft SQL Server, Oracle"	DBA	4	Masters	40
61606	United Kingdom	Microsoft SQL Server	11	"Microsoft SQL Server, MySQL/MariaDB, HP Vertica"	DBA	4	Bachelors (4 years)	38
16666	India	Oracle	7		DBA	7	Bachelors (4 years)	40
85000	United States	Microsoft SQL Server	13	"MySQL/MariaDB, Microsoft Access, SQLite, Azure SQL DB"	DBA	5	None (no degree completed)	40
95000	United States	Microsoft SQL Server	15		Architect	15	Masters	40
82000	United States	Microsoft SQL Server	3	"Oracle, Microsoft Access"	Analyst	8	Bachelors (4 years)	40
40000	United Kingdom	Microsoft SQL Server	7		Developer: T-SQL	7	Bachelors (4 years)	40
45000	Spain	Microsoft SQL Server	12	"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB"	DBA	3	Bachelors (4 years)	40
50600	United Kingdom	Microsoft SQL Server	10	MySQL/MariaDB	DBA	1	None (no degree completed)	35
49289	Jersey	Microsoft SQL Server	4		DBA	1	Bachelors (4 years)	47
40000	Spain	Oracle	13	"Microsoft SQL Server, Oracle, SAP"	DBA	10	None (no degree completed)	40
91000	United States	Microsoft SQL Server	5	"PostgreSQL, MongoDB, Azure SQL DB"	DBA	2	Bachelors (4 years)	50
96000	United States	Microsoft SQL Server	10	MySQL/MariaDB	DBA	10	Bachelors (4 years)	40
113000	United States	Microsoft SQL Server	18		Engineer	18	Bachelors (4 years)	40
27000	Argentina	Microsoft SQL Server	8	"Microsoft SQL Server, PostgreSQL, Sybase"	DBA	8	Bachelors (4 years)	30
116000	United States	Microsoft SQL Server	12	"PostgreSQL, Azure SQL DB, Amazon RDS (any flavor)"	Data Scientist	2	Bachelors (4 years)	40
35000	Russia	Microsoft SQL Server	10	"MySQL/MariaDB, PostgreSQL"	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	5	Masters	80
105000	United States	Microsoft SQL Server	15	Microsoft Access	DBA	3	Bachelors (4 years)	40
50400	Belgium	Microsoft SQL Server	13	Oracle	DBA	13	Bachelors (4 years)	38
125000	United States	Microsoft SQL Server	15	"MySQL/MariaDB, Amazon RDS (any flavor), Redshift"	DBA	1	Bachelors (4 years)	38
100000	Switzerland	Microsoft SQL Server	6		"Developer: App code (C#, JS, etc)"	6	Bachelors (4 years)	42
130000	United States	Microsoft SQL Server	20	"Microsoft SQL Server, Oracle, MySQL/MariaDB, MongoDB, Microsoft Access, SQLite"	DBA	20	Associates (2 years)	50
105000	United States	Microsoft SQL Server	15	"PostgreSQL, Microsoft Access"	DBA	15	Masters	50
57000	United States	Microsoft SQL Server	1		DBA	1	Bachelors (4 years)	40
90000	United States	Microsoft SQL Server	5	"Microsoft SQL Server, Oracle, DB2, Teradata"	DBA	2	None (no degree completed)	40
63000	United States	Microsoft SQL Server	2	"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access"	DBA	2	Associates (2 years)	40
115000	United States	Microsoft SQL Server	6	"MySQL/MariaDB, Microsoft Access"	Manager	3	None (no degree completed)	50
270000	United States	Microsoft SQL Server	20	"MongoDB, SybaseIQ, Hadoop/Impala"	Architect	4	Masters	40
80000	Denmark	Microsoft SQL Server	12	"MySQL/MariaDB, Microsoft Access"	DBA	8	Bachelors (4 years)	40
157000	United States	Microsoft SQL Server	11		Developer: T-SQL	2	Bachelors (4 years)	40
48000	United States	Microsoft SQL Server	4	"MongoDB, Microsoft Access, Azure SQL DB, Amazon RDS (any flavor)"	DBA	2	Bachelors (4 years)	45
49124	Canada	Microsoft SQL Server	5	"MySQL/MariaDB, Microsoft Access"	DBA	1	None (no degree completed)	40
117832	United States	Microsoft SQL Server	17	"Oracle, DB2, Microsoft Access"	Developer: T-SQL	3	Bachelors (4 years)	40
63000	Ireland	Microsoft SQL Server	11	"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access"	DBA	4	Bachelors (4 years)	40
105000	United States	Microsoft SQL Server	10		DBA	4	Bachelors (4 years)	50
80000	United States	Microsoft SQL Server	6	"MongoDB, Amazon RDS (any flavor)"	DBA	4	Associates (2 years)	40
160000	United Kingdom	Microsoft SQL Server	13	"Oracle, Azure SQL DB"	Architect	3	Bachelors (4 years)	42
147000	United States	Microsoft SQL Server	18	"Oracle, MySQL/MariaDB, PostgreSQL, Teradata, Azure SQL DB"	Architect	5	None (no degree completed)	32
21000	Italy	Microsoft SQL Server	15	"Oracle, MySQL/MariaDB, DB2"	Engineer	15	None (no degree completed)	45
64000	Sweden	Microsoft SQL Server	16	"Oracle, MySQL/MariaDB, DB2, Microsoft Access"	DBA	1	Associates (2 years)	40
125000	United States	Microsoft SQL Server	18	"MySQL/MariaDB, Microsoft Access"	DBA	10	None (no degree completed)	55
115000	United States	Microsoft SQL Server	10	Microsoft SQL Server	DBA	10	Masters	40
45000	Netherlands	Microsoft SQL Server	8	MySQL/MariaDB	DBA	8	Bachelors (4 years)	30
130000	United States	PostgreSQL	1	"Microsoft SQL Server, MySQL/MariaDB, Amazon RDS (any flavor)"	DBA	25	Bachelors (4 years)	42
7968	India	Microsoft SQL Server	4	Microsoft SQL Server	DBA	4	Bachelors (4 years)	45
40000	United Kingdom	Microsoft SQL Server	4		DBA	1	Masters	42
98000	United States	Microsoft SQL Server	16	"Microsoft SQL Server, MySQL/MariaDB"	DBA	5	Masters	40
100000	United States	Microsoft SQL Server	8	Microsoft Access	DBA	1	Masters	40
65000	United States	Microsoft SQL Server	7	"Microsoft SQL Server, Microsoft Access, Azure SQL DB"	DBA	7	Bachelors (4 years)	40
104000	United States	Microsoft SQL Server	16	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access"	DBA	10	Masters	40
90000	United States	Microsoft SQL Server	7	MySQL/MariaDB	DBA	3	Bachelors (4 years)	40
138500	United States	Microsoft SQL Server	9	"Oracle, PostgreSQL, Azure SQL DB"	Architect	6	Bachelors (4 years)	45
120000	United States	Microsoft SQL Server	17	Azure SQL DB	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	17	None (no degree completed)	40
132725	United States	Microsoft SQL Server	10		Analyst	10	Bachelors (4 years)	50
75000	United Kingdom	Microsoft SQL Server	12		DBA	10	Masters	45
15000	India	Microsoft SQL Server	6	"Microsoft SQL Server, Oracle"	DBA	3	Bachelors (4 years)	35
63500	United States	Microsoft SQL Server	2	"Oracle, Microsoft Access"	Analyst	1	Doctorate/PhD	37
75000	United States	Microsoft SQL Server	4		DBA	1	Bachelors (4 years)	36
96000	United States	Microsoft SQL Server	10		DBA	2	Bachelors (4 years)	55
130000	United States	Microsoft SQL Server	15	"PostgreSQL, MongoDB, Azure SQL DB"	DBA	13	Masters	40
115000	United States	Microsoft SQL Server	21	"PostgreSQL, Azure SQL DB"	Architect	2	Bachelors (4 years)	45
88900	Sweden	Microsoft SQL Server	25		DBA	20	None (no degree completed)	40
88000	Australia	Microsoft SQL Server	10	"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, DB2"	Other	1	Bachelors (4 years)	45
62000	United States	Microsoft SQL Server	5	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access"	"Developer: App code (C#, JS, etc)"	1	Bachelors (4 years)	40
165000	United States	Microsoft SQL Server	16		DBA	3	None (no degree completed)	60
17647	India	Microsoft SQL Server	7		DBA	7	Bachelors (4 years)	40
93000	United States	Microsoft SQL Server	10	sybase	"Developer: App code (C#, JS, etc)"	5	Masters	40
97000	United States	Microsoft SQL Server	7	4D	Manager	5	None (no degree completed)	50
85000	United States	Microsoft SQL Server	4	Oracle	DBA	4	Bachelors (4 years)	50
111000	United States	Microsoft SQL Server	6	"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access, Elasticsearch"	"Developer: App code (C#, JS, etc)"	12	Bachelors (4 years)	45
134000	United States	Microsoft SQL Server	16	"MySQL/MariaDB, Microsoft Access"	DBA	5	Masters	40
95500	Switzerland	Microsoft SQL Server	4	Oracle	DBA	4	Bachelors (4 years)	42
100000	United States	Microsoft SQL Server	12	Azure SQL DB	"Developer: Business Intelligence (SSRS, PowerBI, etc)"	4	Bachelors (4 years)	50
122000	United States	Microsoft SQL Server	6	"Microsoft SQL Server, Azure SQL DB"	DBA	6	Bachelors (4 years)	50
26000	Mexico	Microsoft SQL Server	6	"Oracle, MySQL/MariaDB, PostgreSQL, DB2, Azure SQL DB, Amazon RDS (any flavor)"	DBA	2	Masters	48
46000	United States	Microsoft SQL Server	4	"Microsoft SQL Server, Microsoft Access"	Analyst	4	Bachelors (4 years)	48
103110	United States	Microsoft SQL Server	8	Oracle	DBA	4	Bachelors (4 years)	40
25500	India	Microsoft SQL Server	8		DBA	8	Masters	50
92000	United States	Microsoft SQL Server	9	"SQLite, SAP SQL Anywhere"	Engineer	5	Bachelors (4 years)	42
14000	India	Microsoft SQL Server	1	Microsoft SQL Server	DBA	1	Masters	45
112500	United States	Microsoft SQL Server	7	Redis	"Developer: App code (C#, JS, etc)"	10	Bachelors (4 years)	48
